Tanggal Pengambilan,Lokasi,Kode Item,Deskripsi,Mesin (Area),Qty,UOM,Pemohon,Status,WR,WO,"QTY
Actual Stock",No Form,Cost Alocation,"Yang
Menyerahkan"
5/20/2026,,E-SPNT0087,Elbow Fitting G 1/8 x 8 mm,SIG A,1,ea,MRA,,123,,4,,mtc,WIDYAN
5/28/2026,E14,E-SPNT0087,Drylin by igus RJ4JP-01-12,,30,EA,,,,,124,,,WIDYAN
5/28/2026,E14,E-SPNT0087,Drylin by igus RJ4JP-01-16,,,EA,,,,,18,,,WIDYAN
5/28/2026,E14,E-SPNT0087,Twin Cylinder DPZ-16-50-P-A Festo,,,EA,,,,,2,,,WIDYAN
5/28/2026,E14,E-SPNT0087,Twin Cylinder DPZ-20-50-P-A Festo,,,EA,,,,,1,,,WIDYAN
6/2/2026,E22,E-SPNT0087,Heater Cartridge 430 x 8.5mm,sig a,,EA,OJI,,562233,,1,,MTC,WIDYAN
6/2/2026,E22,E-SPNT0087,Oil Seal 2410263006,sig b,,EA,OJI,,562233,,10,,MTC,WIDYAN
6/2/2026,E22,E-SPNT0087,Lining film reel brake 2565001015,sig c,,EA,OJI,,562233,,1,,MTC,WIDYAN
6/2/2026,E22,E-SPNT0087,"Klem Selang 5/8""",ilapak 11,,EA,OJI,,562233,,1,,MTC,WIDYAN
6/2/2026,E22,E-SPNT0087,Mounting 10.5 x 3.5 cm,ilapak 12,,EA,OJI,,562233,,2,,MTC,WIDYAN
6/2/2026,E22,E-SPNT0087,1 Gang 10AX SP2 Way Switch E8871 WHI,ilapak 1,,EA,OJI,,562233,,1,,MTC,WIDYAN
6/2/2026,E21,E-SPNT0087,Ball Bearing 2305 E-2RS1TN9 SKF Explorer,CHIMEI,,EA,SIGIT,,512523,,9,,UTL,WIDYAN
6/2/2026,E21,E-SPNT0087,Ball Bushing ILAPAK ,CHIMEI,,EA,SIGIT,,512523,,1,,UTL,WIDYAN
6/2/2026,E21,E-SPNT0087,Bearing 6904 2Z,CHIMEI,,EA,SIGIT,,512523,,3,,UTL,WIDYAN
6/2/2026,E21,E-SPNT0087,Coupling gs24 ct2334 Rotex,CHIMEI,,EA,SIGIT,,512523,,2,,UTL,WIDYAN
6/2/2026,E21,E-SPNT0087,Gear 2400104005 ILAPAK ,CHIMEI,,EA,SIGIT,,512523,,2,,UTL,WIDYAN
6/2/2026,E21,E-SPNT0087,Bearing MNR: R159002030 Rexroth,CHIMEI,,EA,SIGIT,,512523,,2,,UTL,WIDYAN
6/2/2026,E21,E-SPNT0087,Knife 2460301001,CHIMEI,,EA,SIGIT,,512523,,22,,UTL,WIDYAN
